Instar,ProteinType,Replicate,Concentration
third,type4,18,34.388
third,type4,19,32.663
third,type4,20,34.857
third,type4,21,35.495
third,type4,22,35.333
third,type4,23,32.683
third,type4,24,35.511
third,type4,25,35.627
third,type4,26,34.158
third,type4,27,33.293
third,type4,28,33.599
second,type5,1,133.162
second,type5,2,133.744
second,type5,3,133.827
second,type5,4,132.88
second,type5,5,133.287
second,type5,6,133.316
second,type5,7,134.782
second,type5,8,134.055
second,type5,9,133.123
second,type5,10,132.906
second,type5,11,134.649
second,type5,12,133.741
second,type5,13,135.018
second,type5,14,134.411
second,type5,15,135.217
second,type5,16,135.337
second,type5,17,135.618
second,type5,18,135.165
second,type5,19,133.518
second,type5,20,132.854
second,type5,21,135.217
second,type5,22,133.12
second,type5,23,132.834
second,type5,24,133.889
second,type5,25,132.407
second,type5,26,134.378
second,type5,27,132.958
third,type5,1,134.204
third,type5,2,134.573
third,type5,3,134.117
third,type5,4,132.675
third,type5,5,134.347
third,type5,6,135.326
third,type5,7,133.878
third,type5,8,132.689
third,type5,9,135.791
third,type5,10,132.696
third,type5,11,135.188
third,type5,12,135.144
third,type5,13,133.847
third,type5,14,132.827
third,type5,15,135.606
third,type5,16,135.11
third,type5,17,133.962
third,type5,18,132.792
third,type5,19,135.388
third,type5,20,135.141
third,type5,21,135.409
third,type5,22,135.674
third,type5,23,133.129
third,type5,24,133.434
third,type5,25,134.505
third,type5,26,133.878
third,type5,27,132.689
third,type5,28,135.791
second,type6,1,0
second,type6,2,0
second,type6,3,0
second,type6,4,0
second,type6,5,0
second,type6,6,0
second,type6,7,0
second,type6,8,0
second,type6,9,0
second,type6,10,0
second,type6,11,0
second,type6,12,0
second,type6,13,0
second,type6,14,0
second,type6,15,0
second,type6,16,0
second,type6,17,0
second,type6,18,0
second,type6,19,0
second,type6,20,0
second,type6,21,0
second,type6,22,0
second,type6,23,0
second,type6,24,0
second,type6,25,0
second,type6,26,0
second,type6,27,0
third,type6,1,67.239
third,type6,2,63.658
third,type6,3,68.043
third,type6,4,67.205
third,type6,5,66.319
third,type6,6,63.801
third,type6,7,63.887
third,type6,8,63.272
third,type6,9,66.803
third,type6,10,65.145
third,type6,11,64.746
third,type6,12,62.989
third,type6,13,65.051
third,type6,14,67.236
third,type6,15,63.366
third,type6,16,65.941
third,type6,17,62.846
third,type6,18,63.89
third,type6,19,65.388
third,type6,20,60.78
third,type6,21,64.827
third,type6,22,61.908
third,type6,23,63.742
third,type6,24,62.678
third,type6,25,65.215
third,type6,26,67.156
third,type6,27,66.036
third,type6,28,64.915
second,type7,1,143.297
second,type7,2,146.536
second,type7,3,141.709
second,type7,4,152.258
second,type7,5,142.364
second,type7,6,153.293
second,type7,7,153.218
second,type7,8,152.354
second,type7,9,145.918
second,type7,10,148.644
second,type7,11,153.45
second,type7,12,143.683
second,type7,13,154.604
second,type7,14,153.275
second,type7,15,148.536
second,type7,16,141.875
second,type7,17,155.192
second,type7,18,148.568
second,type7,19,151.517
second,type7,20,142.334
second,type7,21,146.277
second,type7,22,156.76
second,type7,23,147.68
second,type7,24,152.261
second,type7,25,153.023
second,type7,26,148.891
second,type7,27,156.171
third,type7,1,152.882
third,type7,2,154.289
third,type7,3,151.306
third,type7,4,144.998
third,type7,5,152.687
third,type7,6,147.619
third,type7,7,146.163
third,type7,8,155.259
third,type7,9,152.121
third,type7,10,145.576
third,type7,11,145.482
third,type7,12,149.146
third,type7,13,152.191
third,type7,14,143.692
third,type7,15,154.207
third,type7,16,143.894
third,type7,17,144.012
third,type7,18,153.524
third,type7,19,155.412
third,type7,20,150.978
third,type7,21,153.697
third,type7,22,144.33
third,type7,23,147.271
third,type7,24,146.872
third,type7,25,145.778
third,type7,26,144.935
third,type7,27,145.482
third,type7,28,150.978
second,type8,1,143.297
second,type8,2,146.536
second,type8,3,141.709
second,type8,4,152.258
second,type8,5,142.364
second,type8,6,153.293
second,type8,7,153.218
second,type8,8,152.354
second,type8,9,145.918
second,type8,10,148.644
second,type8,11,153.45
second,type8,12,143.683
second,type8,13,154.604
second,type8,14,153.275
second,type8,15,148.536
second,type8,16,141.875
second,type8,17,155.192
second,type8,18,148.568
second,type8,19,151.517
second,type8,20,142.334
second,type8,21,146.277
second,type8,22,156.76
second,type8,23,147.68
second,type8,24,152.261
second,type8,25,153.023
second,type8,26,148.891
second,type8,27,156.171
third,type8,1,152.882
third,type8,2,154.289
third,type8,3,151.306
third,type8,4,144.998
third,type8,5,152.687
third,type8,6,147.619
third,type8,7,146.163
third,type8,8,155.259
third,type8,9,152.121
third,type8,10,145.576
third,type8,11,145.482
third,type8,12,149.146
third,type8,13,152.191
third,type8,14,143.692
third,type8,15,154.207
third,type8,16,143.894
third,type8,17,144.012
third,type8,18,153.524
third,type8,19,155.412
third,type8,20,150.978
third,type8,21,153.697
third,type8,22,144.33
third,type8,23,147.271
third,type8,24,146.872
third,type8,25,145.778
third,type8,26,144.935
third,type8,27,154.207
third,type8,28,143.894
second,type9,1,16.204
second,type9,2,16.192
second,type9,3,16.326
second,type9,4,14.978
second,type9,5,16.097
second,type9,6,16.014
second,type9,7,16.374
second,type9,8,14.8
second,type9,9,16.197
second,type9,10,16.202
second,type9,11,15.683
second,type9,12,16.469
second,type9,13,16.107
second,type9,14,16.522
second,type9,15,16.21
second,type9,16,14.982
second,type9,17,14.79
second,type9,18,15.91
second,type9,19,16.312
second,type9,20,14.822
second,type9,21,16.066
second,type9,22,16.035
second,type9,23,15.373
second,type9,24,15.063
second,type9,25,15.924
second,type9,26,16.309
second,type9,27,15.577
third,type9,1,20.85
third,type9,2,21.243
third,type9,3,20.333
third,type9,4,20.614
third,type9,5,22.103
third,type9,6,21.743
third,type9,7,21.127
third,type9,8,20.898
third,type9,9,21.288
third,type9,10,19.907
third,type9,11,18.975
third,type9,12,18.733
third,type9,13,21.229
third,type9,14,19.114
third,type9,15,20.652
third,type9,16,22.111
third,type9,17,19.3
third,type9,18,20.115
third,type9,19,19.401
third,type9,20,20.433
third,type9,21,21.034
third,type9,22,20.572
third,type9,23,20.749
third,type9,24,22.079
third,type9,25,18.575
third,type9,26,18.977
third,type9,27,22.773
third,type9,28,19.785
second,type10,1,133.162
second,type10,2,133.744
second,type10,3,133.827
second,type10,4,132.88
second,type10,5,133.287
second,type10,6,133.316
second,type10,7,134.782
second,type10,8,134.055
second,type10,9,133.123
second,type10,10,132.906
second,type10,11,134.649
second,type10,12,133.741
second,type10,13,135.018
second,type10,14,134.411
second,type10,15,135.217
second,type10,16,135.337
second,type10,17,135.618
second,type10,18,135.165
second,type10,19,133.518
second,type10,20,132.854
second,type10,21,135.217
second,type10,22,133.12
second,type10,23,132.834
second,type10,24,133.889
second,type10,25,132.407
second,type10,26,134.378
second,type10,27,132.958
third,type10,1,134.204
third,type10,2,134.573
third,type10,3,134.117
third,type10,4,132.675
third,type10,5,134.347
third,type10,6,135.326
third,type10,7,133.878
third,type10,8,132.689
third,type10,9,135.791
third,type10,10,132.696
third,type10,11,135.188
third,type10,12,135.144
third,type10,13,133.847
third,type10,14,132.827
third,type10,15,135.606
third,type10,16,135.11
third,type10,17,133.962
third,type10,18,132.792
third,type10,19,135.388
third,type10,20,135.141
third,type10,21,135.409
third,type10,22,135.674
third,type10,23,133.129
third,type10,24,133.434
third,type10,25,134.505
third,type10,26,133.878
third,type10,27,132.689
third,type10,28,135.791
